,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
3939,8,4,5,0,1,6,9,4,1,1,45,0,2,1,3,3940,8,400,1,4,4,3,6,0,0,0,0,0,1,0,2,-1.0,2,1
12432,8,4,6,2,1,7,6,2,1,1,39,0,1,0,2,12433,13,400,1,4,4,5,6,0,0,0,6,4,2,2,1,-1.0,1,1
7828,9,2,5,17,1,7,10,2,1,1,48,0,0,0,1,7829,9,400,4,4,4,1,7,0,0,0,0,0,1,1,0,-1.0,1,1
2589,0,1,1,13,1,1,1,4,1,1,33,0,0,0,0,2590,16,400,3,4,4,1,5,0,0,0,0,0,1,0,0,-1.0,0,1
2909,0,3,2,17,0,5,7,4,0,2,28,0,0,0,1,2910,3,400,1,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,1,1
7422,10,4,3,17,0,2,11,5,1,2,49,0,0,0,1,7423,6,400,1,4,4,0,6,0,0,0,6,0,1,1,0,-1.0,1,1
827,4,4,5,13,1,6,1,1,1,1,27,0,1,0,2,828,14,400,1,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,1,1
7498,10,4,6,9,1,5,10,2,0,1,32,0,1,0,1,7499,7,400,4,4,4,3,5,0,0,0,6,0,1,1,1,-1.0,1,1
796,4,4,3,9,1,7,5,4,1,1,32,0,1,0,1,797,6,400,4,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,1,1
798,4,4,1,2,1,7,4,1,0,2,27,0,0,0,5,799,6,400,2,4,4,1,6,0,0,0,1,4,2,0,0,-1.0,2,1
1062,3,1,2,2,1,2,4,2,1,1,43,0,0,0,2,1063,6,400,3,4,4,3,6,0,0,0,6,0,1,0,0,-1.0,1,1
10291,3,4,4,9,1,1,4,4,1,2,68,0,0,0,1,10292,3,400,1,4,4,5,7,0,0,0,6,0,3,1,0,-1.0,1,1
13298,5,1,1,17,1,6,6,2,1,1,53,0,2,1,1,13299,13,400,3,4,4,3,6,0,0,0,1,0,1,2,2,-1.0,1,1
4088,8,5,3,17,1,2,7,1,1,2,34,0,0,0,1,4089,10,400,4,4,4,1,5,0,0,0,0,0,1,0,0,-1.0,1,1
13798,5,4,4,13,1,5,2,1,1,1,38,0,6,2,3,13799,15,400,3,2,4,3,7,0,0,0,0,0,1,2,0,-1.0,2,1
4029,8,4,0,13,1,2,7,1,1,1,40,0,0,0,2,4030,12,500,1,4,4,3,6,0,0,0,0,2,1,0,0,-1.0,1,1
11909,0,5,3,13,1,1,9,3,1,1,58,0,1,0,1,11910,14,400,2,4,4,1,6,0,0,0,1,0,1,2,1,-1.0,1,1
11104,7,4,1,9,1,6,8,5,1,2,25,0,1,0,1,11105,13,400,4,4,4,0,4,0,0,0,0,0,1,1,1,-1.0,1,1
11997,8,1,0,17,0,6,9,4,1,1,44,0,1,0,2,11998,1,700,2,4,4,1,7,0,0,0,0,0,1,2,1,-1.0,1,1
3772,8,3,6,6,1,6,7,5,1,1,42,0,1,0,3,3773,10,400,1,4,4,3,7,0,0,0,3,0,3,0,1,-1.0,2,1
7324,10,3,5,13,1,1,11,4,1,1,64,0,0,0,1,7325,6,400,1,4,4,1,7,0,0,0,0,0,1,1,0,-1.0,1,1
4811,5,1,0,9,1,2,6,1,1,1,47,0,0,0,3,4812,4,400,1,4,4,0,7,0,0,0,0,0,1,0,0,-1.0,2,1
15120,10,3,0,2,1,6,11,4,1,1,50,0,6,2,5,15121,9,400,3,4,4,3,6,0,0,0,1,4,2,2,0,-1.0,2,1
10710,8,5,6,13,1,1,7,1,0,2,31,1,1,0,1,10711,7,500,4,4,4,0,5,0,0,0,0,2,2,1,1,-1.0,1,1
1428,3,3,3,17,1,1,8,3,1,2,31,0,0,0,1,1429,10,500,2,4,4,0,5,0,0,0,0,2,2,0,0,-1.0,1,1
4448,6,2,3,0,1,7,7,5,1,1,29,0,1,0,2,4449,11,400,4,4,4,3,6,0,0,0,0,0,1,0,1,-1.0,1,1
1737,7,1,2,17,1,6,8,2,1,1,36,0,0,0,5,1738,4,400,4,4,4,1,6,0,0,0,6,0,1,0,0,-1.0,2,1
7555,10,5,2,17,1,6,10,2,1,1,59,0,1,0,1,7556,11,400,1,4,4,1,6,0,0,0,0,0,1,1,1,-1.0,1,1
12747,6,1,2,13,1,1,7,4,1,1,52,0,1,0,2,12748,2,400,2,4,4,1,7,0,0,1,3,0,1,2,1,-1.0,1,1
4794,2,4,0,2,1,5,3,5,1,1,32,1,1,0,1,4795,9,500,4,4,4,3,5,0,0,0,0,2,1,0,1,-1.0,1,1
2103,7,3,4,6,1,5,8,3,1,2,0,0,1,0,5,2104,12,400,1,4,4,0,0,0,0,0,0,0,1,0,1,-1.0,2,1
15130,10,3,0,13,1,5,10,2,1,1,60,0,1,0,0,15131,9,400,3,4,4,1,7,0,0,0,6,0,1,2,1,-1.0,0,1
8104,9,3,2,16,1,1,3,1,1,1,30,0,0,0,1,8105,1,400,1,4,4,3,6,0,0,0,0,0,1,1,0,-1.0,1,1
1338,3,3,4,6,1,1,4,3,1,2,29,0,1,0,1,1339,16,400,3,4,4,1,5,0,0,0,3,0,1,0,1,-1.0,1,1
5101,5,3,0,9,1,1,6,3,1,2,26,0,1,0,1,5102,8,400,3,4,4,3,5,0,0,0,1,0,1,0,1,-1.0,1,1
1962,7,2,2,17,1,6,1,1,1,1,28,0,0,0,1,1963,5,400,1,4,4,5,4,0,0,0,6,0,1,0,0,-1.0,1,1
9813,3,1,4,2,1,5,4,4,1,1,26,0,1,0,2,9814,9,400,4,4,4,1,5,0,0,0,0,0,1,1,1,-1.0,1,1
14555,11,2,5,13,1,5,12,3,1,2,29,0,1,0,2,14556,12,400,3,4,4,1,6,0,0,0,1,0,3,2,1,-1.0,1,1
1736,7,1,2,6,1,7,8,3,1,2,0,0,0,0,5,1737,16,400,1,4,4,0,0,0,0,0,0,0,1,0,0,-1.0,2,1
6543,11,3,1,0,0,7,12,4,1,1,29,0,6,2,5,6544,12,400,3,4,4,3,6,0,0,0,0,0,1,1,0,-1.0,2,1
10183,3,3,2,0,1,5,4,4,1,1,61,0,0,0,2,10184,8,400,4,4,4,5,7,0,0,0,0,0,1,1,0,-1.0,1,1
4395,6,2,0,13,1,6,7,3,1,2,34,0,1,0,1,4396,12,400,4,4,4,3,5,0,0,0,1,0,1,0,1,-1.0,1,1
963,4,5,1,6,0,6,4,1,1,2,18,0,4,1,5,964,4,400,3,4,4,0,2,0,0,0,0,0,1,0,1,-1.0,2,1
4896,2,4,3,13,1,7,3,5,1,1,41,1,1,0,1,4897,10,500,1,4,4,3,6,0,0,0,0,2,1,0,1,-1.0,1,1
6034,1,5,5,17,0,7,2,5,1,2,42,0,0,0,0,6035,2,400,4,4,4,0,6,0,0,0,0,0,1,0,0,-1.0,0,1
2292,7,4,4,2,1,1,1,1,1,1,52,0,1,0,2,2293,10,400,2,4,4,3,7,0,0,0,3,0,1,0,1,-1.0,1,1
13713,5,4,3,13,1,5,6,4,1,2,41,0,1,0,1,13714,8,400,3,4,4,0,7,0,0,0,1,4,2,2,1,-1.0,1,1
7504,10,4,6,13,1,1,3,1,1,1,31,0,1,0,2,7505,5,400,3,4,4,5,6,0,0,0,6,0,1,1,1,-1.0,1,1
13796,5,4,6,17,0,1,2,1,1,1,29,0,0,0,1,13797,7,400,1,4,4,3,4,0,0,0,1,0,1,2,0,-1.0,1,1
7064,10,2,1,17,1,6,11,2,1,1,51,0,2,1,1,7065,7,400,3,4,4,0,7,0,0,0,0,0,1,1,2,-1.0,1,1
15286,9,1,4,6,1,1,10,3,1,1,34,0,1,0,1,15287,2,400,4,0,4,1,5,0,0,0,0,0,1,2,1,-1.0,1,1
6834,10,1,3,9,1,1,11,2,1,1,59,0,1,0,1,6835,10,500,2,4,4,3,6,0,0,0,0,2,1,1,1,-1.0,1,1
10149,3,3,4,13,1,2,4,3,1,1,69,0,0,0,1,10150,13,500,1,4,4,3,6,0,0,0,6,2,1,1,0,-1.0,1,1
